Date,Open,High,Low,Close,Volume,Market Cap
"Nov 21, 2022","$ 16,291.22","$ 16,291.22","$ 15,599.05","$ 15,787.28","$ 37,42,94,85,518.00","$ 3,03,33,21,40,407.00"
"Nov 20, 2022","$ 16,712.92","$ 16,746.78","$ 16,248.69","$ 16,291.83","$ 21,31,33,78,652.00","$ 3,13,01,28,26,680.00"
"Nov 19, 2022","$ 16,696.22","$ 16,797.88","$ 16,570.41","$ 16,711.55","$ 16,10,62,23,492.00","$ 3,21,06,16,21,176.00"
"Nov 18, 2022","$ 16,687.91","$ 16,947.06","$ 16,564.61","$ 16,697.78","$ 26,86,22,18,609.00","$ 3,20,78,11,06,963.00"
"Nov 17, 2022","$ 16,670.43","$ 16,726.44","$ 16,460.68","$ 16,687.52","$ 27,86,89,14,022.00","$ 3,20,57,04,40,521.00"
"Nov 16, 2022","$ 16,884.34","$ 16,960.30","$ 16,430.11","$ 16,669.44","$ 33,92,55,12,989.00","$ 3,20,20,81,59,887.00"
"Nov 15, 2022","$ 16,617.48","$ 17,051.96","$ 16,542.55","$ 16,884.61","$ 36,59,94,36,183.00","$ 3,24,32,62,99,580.00"
"Nov 14, 2022","$ 16,352.03","$ 17,109.32","$ 15,872.94","$ 16,618.20","$ 49,63,02,43,054.00","$ 3,19,19,29,15,033.00"
"Nov 13, 2022","$ 16,799.72","$ 16,920.77","$ 16,320.64","$ 16,353.37","$ 27,20,91,83,682.00","$ 3,14,09,32,57,178.00"
"Nov 12, 2022","$ 17,036.88","$ 17,066.68","$ 16,651.77","$ 16,799.18","$ 29,71,76,99,419.00","$ 3,22,64,20,84,634.00"
"Nov 11, 2022","$ 17,583.25","$ 17,650.94","$ 16,543.48","$ 17,034.29","$ 55,87,16,16,488.00","$ 3,27,13,97,66,936.00"
"Nov 10, 2022","$ 15,883.16","$ 18,054.31","$ 15,834.02","$ 17,586.77","$ 83,20,22,83,721.00","$ 3,37,73,56,90,620.00"
"Nov 09, 2022","$ 18,543.76","$ 18,590.46","$ 15,682.69","$ 15,880.78","$ 1,02,90,51,51,606.00","$ 3,04,95,85,04,278.00"
"Nov 08, 2022","$ 20,600.67","$ 20,664.61","$ 17,603.54","$ 18,541.27","$ 1,18,99,24,65,607.00","$ 3,56,03,01,88,153.00"
"Nov 07, 2022","$ 20,924.62","$ 21,053.25","$ 20,489.97","$ 20,602.82","$ 53,51,08,52,236.00","$ 3,95,59,63,52,770.00"
"Nov 06, 2022","$ 21,285.06","$ 21,345.38","$ 20,920.19","$ 20,926.49","$ 35,08,26,93,210.00","$ 4,01,79,23,18,391.00"
"Nov 05, 2022","$ 21,144.83","$ 21,446.89","$ 21,097.64","$ 21,282.69","$ 37,84,60,47,609.00","$ 4,08,61,36,90,153.00"
"Nov 04, 2022","$ 20,208.77","$ 21,209.56","$ 20,188.02","$ 21,147.23","$ 64,07,27,27,950.00","$ 4,05,99,24,46,611.00"
"Nov 03, 2022","$ 20,162.69","$ 20,382.10","$ 20,086.24","$ 20,209.99","$ 43,22,87,50,179.00","$ 3,87,98,31,12,928.00"
"Nov 02, 2022","$ 20,482.96","$ 20,742.81","$ 20,087.13","$ 20,159.50","$ 55,55,21,69,483.00","$ 3,86,99,32,71,474.00"
"Nov 01, 2022","$ 20,494.90","$ 20,647.29","$ 20,359.85","$ 20,485.27","$ 39,81,93,03,159.00","$ 3,93,23,06,95,988.00"
"Oct 31, 2022","$ 20,633.70","$ 20,795.32","$ 20,287.46","$ 20,495.77","$ 45,66,84,66,815.00","$ 3,93,41,30,45,573.00"
"Oct 30, 2022","$ 20,817.98","$ 20,917.01","$ 20,547.46","$ 20,635.60","$ 31,48,63,45,556.00","$ 3,96,07,51,35,322.00"
"Oct 29, 2022","$ 20,595.10","$ 20,988.39","$ 20,566.48","$ 20,818.48","$ 40,36,98,40,645.00","$ 3,99,56,79,72,100.00"
"Oct 28, 2022","$ 20,287.96","$ 20,724.98","$ 20,086.07","$ 20,595.35","$ 43,99,47,15,910.00","$ 3,95,26,67,56,395.00"
"Oct 27, 2022","$ 20,772.80","$ 20,854.04","$ 20,255.37","$ 20,285.84","$ 49,62,51,10,402.00","$ 3,89,30,65,07,854.00"
"Oct 26, 2022","$ 20,092.24","$ 20,938.13","$ 20,076.12","$ 20,770.44","$ 58,89,59,50,537.00","$ 3,98,58,89,22,091.00"
"Oct 25, 2022","$ 19,344.96","$ 20,348.41","$ 19,261.45","$ 20,095.86","$ 47,76,15,24,910.00","$ 3,85,62,41,52,242.00"
