Date,Open,High,Low,Close,Volume,Market Cap
"Nov 30, 2022",$ 0.10,$ 0.11,$ 0.10,$ 0.11,"$ 1,38,86,24,554.00","$ 14,17,71,70,963.00"
"Nov 29, 2022",$ 0.10,$ 0.10,$ 0.09,$ 0.10,"$ 1,35,24,27,444.00","$ 13,51,28,95,531.00"
"Nov 28, 2022",$ 0.10,$ 0.10,$ 0.09,$ 0.10,"$ 1,37,56,00,313.00","$ 12,61,98,70,242.00"
"Nov 27, 2022",$ 0.09,$ 0.11,$ 0.09,$ 0.10,"$ 1,96,52,64,746.00","$ 13,09,61,41,897.00"
"Nov 26, 2022",$ 0.09,$ 0.09,$ 0.09,$ 0.09,"$ 90,20,63,657.00","$ 11,80,61,32,933.00"
"Nov 25, 2022",$ 0.08,$ 0.09,$ 0.08,$ 0.09,"$ 1,02,24,84,210.00","$ 11,87,07,58,194.00"
"Nov 24, 2022",$ 0.08,$ 0.08,$ 0.08,$ 0.08,"$ 36,03,26,829.00","$ 10,81,01,00,363.00"
"Nov 23, 2022",$ 0.08,$ 0.08,$ 0.08,$ 0.08,"$ 52,97,44,394.00","$ 10,85,06,35,449.00"
"Nov 22, 2022",$ 0.07,$ 0.08,$ 0.07,$ 0.08,"$ 55,63,92,479.00","$ 10,41,31,28,152.00"
"Nov 21, 2022",$ 0.08,$ 0.08,$ 0.07,$ 0.07,"$ 66,00,61,266.00","$ 9,91,19,68,411.00"
"Nov 20, 2022",$ 0.08,$ 0.09,$ 0.08,$ 0.08,"$ 49,90,31,478.00","$ 10,23,87,17,743.00"
"Nov 19, 2022",$ 0.08,$ 0.08,$ 0.08,$ 0.08,"$ 24,66,61,551.00","$ 11,22,14,58,410.00"
"Nov 18, 2022",$ 0.08,$ 0.09,$ 0.08,$ 0.08,"$ 33,74,85,766.00","$ 11,23,35,51,369.00"
"Nov 17, 2022",$ 0.09,$ 0.09,$ 0.08,$ 0.08,"$ 46,16,54,197.00","$ 11,24,58,45,536.00"
"Nov 16, 2022",$ 0.09,$ 0.09,$ 0.08,$ 0.09,"$ 71,28,26,081.00","$ 11,35,43,07,056.00"
"Nov 15, 2022",$ 0.09,$ 0.09,$ 0.09,$ 0.09,"$ 64,00,84,422.00","$ 11,53,85,45,274.00"
"Nov 14, 2022",$ 0.08,$ 0.09,$ 0.08,$ 0.09,"$ 1,21,26,78,659.00","$ 11,39,36,32,585.00"
"Nov 13, 2022",$ 0.09,$ 0.09,$ 0.08,$ 0.08,"$ 94,95,84,216.00","$ 11,26,28,17,197.00"
"Nov 12, 2022",$ 0.08,$ 0.09,$ 0.08,$ 0.09,"$ 1,84,24,69,589.00","$ 11,68,02,60,926.00"
"Nov 11, 2022",$ 0.09,$ 0.09,$ 0.08,$ 0.08,"$ 1,30,51,92,050.00","$ 11,26,17,64,685.00"
"Nov 10, 2022",$ 0.07,$ 0.09,$ 0.07,$ 0.09,"$ 2,42,18,32,556.00","$ 11,91,23,84,868.00"
"Nov 09, 2022",$ 0.09,$ 0.09,$ 0.07,$ 0.07,"$ 2,80,77,94,508.00","$ 9,85,57,82,890.00"
"Nov 08, 2022",$ 0.11,$ 0.11,$ 0.08,$ 0.09,"$ 3,54,58,38,435.00","$ 11,72,94,70,505.00"
"Nov 07, 2022",$ 0.11,$ 0.12,$ 0.11,$ 0.11,"$ 1,33,79,77,256.00","$ 14,76,60,64,919.00"
"Nov 06, 2022",$ 0.12,$ 0.13,$ 0.11,$ 0.11,"$ 1,31,68,10,628.00","$ 15,20,49,23,054.00"
"Nov 05, 2022",$ 0.13,$ 0.14,$ 0.12,$ 0.12,"$ 1,90,74,21,740.00","$ 16,50,26,74,701.00"
"Nov 04, 2022",$ 0.12,$ 0.13,$ 0.12,$ 0.13,"$ 2,95,70,02,544.00","$ 16,75,36,83,862.00"
"Nov 03, 2022",$ 0.13,$ 0.14,$ 0.12,$ 0.12,"$ 2,57,05,74,344.00","$ 16,26,44,00,488.00"
"Nov 02, 2022",$ 0.14,$ 0.15,$ 0.12,$ 0.13,"$ 4,67,56,47,398.00","$ 16,95,92,67,168.00"
"Nov 01, 2022",$ 0.13,$ 0.16,$ 0.13,$ 0.14,"$ 7,87,72,93,443.00","$ 18,91,55,05,663.00"
"Oct 31, 2022",$ 0.12,$ 0.13,$ 0.12,$ 0.13,"$ 5,81,42,47,122.00","$ 16,85,26,35,357.00"
"Oct 30, 2022",$ 0.12,$ 0.14,$ 0.11,$ 0.12,"$ 7,90,85,93,943.00","$ 15,62,89,19,762.00"
"Oct 29, 2022",$ 0.08,$ 0.15,$ 0.08,$ 0.12,"$ 12,15,76,42,295.00","$ 16,13,31,95,507.00"
"Oct 28, 2022",$ 0.08,$ 0.09,$ 0.07,$ 0.08,"$ 3,17,25,00,998.00","$ 11,13,06,94,833.00"
"Oct 27, 2022",$ 0.07,$ 0.08,$ 0.07,$ 0.08,"$ 2,65,27,84,687.00","$ 10,21,81,01,947.00"
"Oct 26, 2022",$ 0.06,$ 0.07,$ 0.06,$ 0.07,"$ 1,35,70,27,720.00","$ 9,65,84,15,951.00"
"Oct 25, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 47,55,12,798.00","$ 8,34,25,94,266.00"
"Oct 24, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 22,65,74,582.00","$ 7,89,47,13,938.00"
"Oct 23, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 18,25,23,575.00","$ 8,00,63,27,877.00"
"Oct 22, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 15,94,31,212.00","$ 7,91,96,49,250.00"
"Oct 21, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 22,47,87,600.00","$ 7,87,19,20,977.00"
"Oct 20, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 24,13,88,629.00","$ 7,89,86,38,415.00"
"Oct 19, 2022",$ 0.06,$ 0.06,$ 0.06,$ 0.06,"$ 28,72,97,160.00","$ 7,78,95,14,567.00"
